Bx,By,Bz
73.744,41.818,-81.720
74.278,39.853,-81.548
73.922,40.925,-82.235
73.388,37.887,-82.406
72.497,35.921,-80.174
69.647,28.772,-81.548
68.934,26.628,-82.578
64.303,22.339,-83.951
64.481,56.115,-85.153
50.766,74.522,-68.500
47.737,80.777,-47.384
41.681,72.914,-27.125
53.081,65.051,-29.186
47.025,61.834,-17.855
90.309,44.499,-21.460
94.050,38.959,-39.486
83.719,22.875,-64.208
59.137,10.723,-72.449
53.616,7.327,-65.067
48.806,5.719,-60.431
56.466,3.396,-61.290
68.222,8.757,-68.500
75.525,28.236,-80.689
65.550,54.686,-84.123
47.025,77.561,-68.672
31.528,77.739,-47.212
32.953,74.880,-31.417
34.734,56.294,-18.026
44.709,48.788,-13.906
52.725,46.465,1.030
92.981,38.959,-21.288
94.050,31.811,-52.877
84.787,24.662,-69.359
62.166,15.905,-75.367
48.272,10.187,-70.217
51.122,8.042,-67.127
55.219,5.004,-67.298
68.934,20.909,-79.488
64.838,38.602,-85.153
41.325,63.621,-82.750
30.281,75.773,-54.594
27.787,73.629,-32.962
37.406,68.268,-19.571
48.984,52.005,-8.069
60.206,43.248,-2.060
82.294,33.240,-11.674
95.119,51.469,-39.830
72.675,18.586,-76.226
74.278,43.069,-81.548
51.656,11.795,-73.479
46.134,5.183,-59.229
52.369,1.072,-58.714
53.794,2.502,-67.985
46.491,20.552,-83.265
47.381,42.176,-89.273
39.366,74.880,-66.783
26.541,74.880,-45.838
32.953,72.378,-25.580
38.653,60.940,-14.249
47.916,50.575,-9.442
62.166,44.856,-4.635
83.719,35.742,-13.391
94.050,27.521,-33.306
91.378,25.913,-48.242
78.019,11.438,-61.805
65.906,8.221,-66.612
52.369,4.646,-56.654
54.150,3.574,-53.564
53.259,-0.536,-59.229
69.469,15.012,-75.539
55.931,23.947,-83.780
55.397,58.081,-83.951
51.122,76.310,-68.157
40.256,78.633,-38.456
47.381,70.770,-24.035
48.806,54.686,-16.825
37.762,49.324,-22.318
58.247,49.503,-1.888
84.609,41.282,-11.159
93.337,26.449,-40.860
86.034,18.050,-59.229
64.838,7.506,-70.389
55.575,8.578,-69.015
43.284,6.255,-61.976
43.819,6.791,-50.817
46.491,5.183,-49.615
45.778,0.179,-56.483
57.534,6.970,-69.187
55.041,31.989,-87.728
54.150,68.268,-78.286
36.872,79.884,-40.688
51.122,79.526,-37.598
40.256,69.697,-21.632
50.409,53.077,-20.087
34.200,48.609,-18.198
68.756,46.465,-2.747
93.516,39.853,-27.984
93.337,34.312,-58.028
76.416,24.841,-74.681
60.562,11.438,-73.479
48.984,4.468,-63.006
47.737,2.145,-52.877
50.587,1.787,-53.221
48.450,2.502,-63.865
54.328,21.624,-83.951
59.850,56.473,-84.810
52.191,78.812,-60.946
35.447,74.880,-31.074
48.806,73.629,-27.125
39.188,57.545,-16.481
31.884,41.282,-21.803
45.956,47.180,1.373
84.253,46.286,-11.846
96.188,39.316,-45.667
86.569,29.666,-69.702
75.169,25.020,-77.599
68.400,22.518,-78.286
72.675,16.441,-71.762
69.469,12.510,-60.431
71.784,15.190,-59.916
72.319,16.084,-66.612
79.087,32.168,-71.762
73.566,48.788,-79.488
48.984,80.599,-54.766
40.791,81.671,-43.435
39.366,73.450,-20.773
40.612,51.826,-12.018
28.678,39.138,-22.833
39.009,43.784,3.949
81.403,43.784,-5.665
96.366,32.704,-39.658
86.212,20.373,-61.805
68.934,11.259,-72.621
65.906,10.008,-71.075
58.781,4.646,-61.461
63.234,9.472,-48.929
53.616,4.825,-53.049
71.784,13.761,-66.783
69.291,40.567,-83.608
58.247,73.093,-66.440
33.487,77.203,-46.697
46.312,71.127,-23.348
44.175,57.188,-21.632
34.022,47.358,-21.117
72.319,53.256,-5.837
92.803,35.563,-25.924
87.459,16.263,-46.525
71.428,6.255,-62.663
65.372,6.255,-63.006
58.603,3.396,-59.916
58.959,4.110,-48.585
63.769,7.148,-48.070
66.619,7.148,-54.938
69.112,14.654,-72.449
63.056,43.605,-86.870
53.616,77.382,-66.440
49.697,80.599,-50.989
43.284,75.952,-30.731
44.531,58.260,-19.571
36.516,49.503,-6.009
85.500,47.537,-14.078
92.269,25.377,-38.800
73.566,7.327,-63.006
60.919,3.932,-62.491
65.372,8.399,-65.753
53.794,3.574,-48.757
59.316,7.685,-47.555
59.316,4.110,-54.422
66.975,10.008,-70.389
48.806,41.818,-89.617
45.778,80.241,-63.006
30.281,77.918,-51.847
48.272,76.667,-26.954
42.038,70.055,-25.065
52.012,59.332,-14.078
67.153,53.792,-6.696
91.022,45.571,-20.773
94.763,36.100,-43.607
80.869,15.369,-62.491
72.497,8.399,-66.097
61.453,2.323,-60.603
65.194,5.361,-54.938
59.137,6.791,-49.787
59.850,4.289,-61.805
65.016,17.335,-76.397
53.081,53.971,-87.557
48.984,80.956,-53.392
43.997,80.956,-37.254
43.284,65.587,-17.340
49.341,52.720,-12.189
59.494,48.967,0.000
88.172,41.997,-14.593
94.050,33.240,-41.546
77.128,15.905,-68.157
61.809,11.974,-75.024
56.644,11.795,-76.226
55.397,8.042,-70.217
55.931,3.217,-51.847
59.850,7.863,-51.161
62.700,5.719,-62.148
58.959,15.190,-76.397
57.000,33.955,-87.900
48.628,68.089,-77.428
45.422,82.028,-50.302
39.366,73.093,-24.550
52.725,66.123,-15.795
42.038,44.678,-12.018
71.962,51.826,-5.494
87.638,51.469,-16.481
93.159,31.632,-46.182
71.606,15.369,-71.762
58.069,8.936,-72.449
58.425,5.361,-62.148
50.944,3.932,-51.161
60.206,3.574,-52.877
65.906,8.221,-66.612
64.659,28.772,-82.235
60.206,59.689,-82.406
49.697,78.097,-58.199
48.806,77.561,-31.932
45.244,64.693,-20.258
8.016,34.491,-13.219
19.238,5.719,-6.867
65.906,59.332,-1.373
86.747,21.267,-61.633
84.431,21.088,-66.612
61.631,13.225,-76.226
66.263,10.008,-70.389
65.194,7.506,-52.534
70.716,14.118,-48.585
74.991,13.046,-58.199
74.278,25.198,-76.741
63.769,59.332,-81.033
42.928,80.241,-56.139
43.284,79.169,-35.538
39.366,67.731,-21.117
42.394,46.822,-13.048
42.038,48.609,1.030
83.184,56.294,-13.219
96.900,45.035,-40.173
76.772,21.624,-76.054
67.153,16.620,-78.114
63.591,13.403,-74.681
63.056,5.719,-58.371
72.675,10.723,-54.251
74.991,14.476,-63.006
77.484,37.708,-76.741
60.028,60.583,-83.265
43.462,81.135,-50.474
40.256,76.846,-33.649
43.462,67.195,-19.915
35.269,37.887,-17.855
53.794,52.541,0.343
90.487,52.898,-23.692
91.912,30.023,-52.191
76.772,20.194,-74.337
69.112,13.225,-74.852
65.906,10.365,-71.419
64.838,6.076,-58.714
63.413,6.076,-52.191
67.688,8.221,-53.907
74.456,16.084,-66.955
68.578,44.856,-82.235
57.712,77.561,-56.654
45.066,80.241,-37.941
47.381,56.830,-14.078
61.275,68.268,-17.855
85.500,65.051,-24.035
91.912,30.738,-54.594
78.375,14.654,-64.895
67.866,10.901,-72.621
67.331,11.438,-71.762
53.259,5.540,-65.410
53.616,4.110,-59.229
63.234,3.753,-53.736
66.975,9.293,-62.491
70.359,27.700,-78.114
60.384,60.940,-82.578
46.134,80.599,-57.169
53.259,79.884,-40.345
49.519,70.770,-24.035
67.866,69.519,-22.490
78.731,63.621,-16.138
96.544,42.891,-38.113
91.200,25.377,-51.504
72.141,14.118,-68.500
68.044,9.650,-70.389
72.853,16.620,-71.590
61.275,3.932,-54.594
71.072,9.114,-55.453
74.278,14.476,-64.037
72.853,33.062,-80.518
63.591,59.511,-83.951
55.575,78.633,-52.191
52.547,77.024,-35.538
51.478,54.507,-18.026
45.778,49.860,-11.846
70.716,55.579,-7.039
90.309,48.431,-22.147
88.884,22.339,-52.362
